phase,shard,slice,num_samples,acc,f1,train_loss,wall_clock,gpu_mem_gb
deletion,16,1,742,0.4146,0.3949632251866576,1.234603766482474,14.443618774414062,0.021622180938720703
deletion,16,2,742,0.465,0.4388371525097632,1.2009172722335775,14.458613395690918,0.021622180938720703
deletion,17,0,737,0.3638,0.3371130520407707,1.6140927872146649,14.362897396087646,0.021564960479736328
deletion,17,1,741,0.4264,0.40396814409347787,1.3945898691169647,14.416920185089111,0.021610736846923828
deletion,17,2,739,0.4716,0.43884114168406885,1.1176651569438723,14.642245054244995,0.021587848663330078
deletion,18,0,743,0.3532,0.3210865352072521,1.4955550162660642,14.457153081893921,0.02163410186767578
deletion,18,1,742,0.4386,0.41720480112857355,1.2939523792652428,14.546256065368652,0.021622180938720703
deletion,18,2,745,0.47,0.43975723396722843,1.131785468287116,14.48448896408081,0.02165699005126953
deletion,19,0,746,0.3472,0.3433015647351117,1.482964296762809,14.533410549163818,0.021668434143066406
deletion,19,1,741,0.4236,0.40621566681275073,1.2745313555927251,14.49230170249939,0.021610736846923828
deletion,19,2,736,0.453,0.42834944951169074,1.1520545430805371,14.848604440689087,0.021553516387939453
deletion,0,0,702,0.3458,0.3244662291115446,1.5569165272590442,16.228249549865723,0.02116250991821289
deletion,0,1,710,0.4078,0.38035970253015394,1.306579555256266,13.564914464950562,0.021255016326904297
deletion,0,2,715,0.4616,0.43936994584665534,1.2050985791466453,13.662098407745361,0.021312236785888672
deletion,1,0,710,0.3496,0.3143858521103687,1.5885170046712311,13.83030080795288,0.021255016326904297
deletion,1,1,715,0.4,0.38143972436571777,1.2866421309384433,13.879111766815186,0.021312236785888672
deletion,1,2,715,0.4624,0.4411274523042775,1.186770478495351,14.135897397994995,0.021312236785888672
deletion,2,0,713,0.3428,0.31513389078025145,1.512085725013872,13.91316843032837,0.021289348602294922
deletion,2,1,716,0.4224,0.409941630446418,1.3290629093873434,13.9955415725708,0.021323680877685547
deletion,2,2,700,0.4644,0.44388145869287327,1.1433605425698417,13.829107761383057,0.02113962173461914
deletion,3,0,707,0.3474,0.3017417397871943,1.5157008587555298,13.959997415542603,0.021220684051513672
deletion,3,1,715,0.412,0.3819082536858392,1.2438432445059289,14.071238279342651,0.021312236785888672
deletion,3,2,711,0.4748,0.4590923570367301,1.1949105911617037,14.001569271087646,0.021266460418701172
deletion,4,0,711,0.3648,0.3416714913330472,1.5390258232752483,14.554673671722412,0.021266460418701172
deletion,4,1,704,0.417,0.3920371894924027,1.271407875147733,13.936750411987305,0.02118539810180664
deletion,4,2,707,0.4438,0.4255986895550449,1.164803081556965,13.983320474624634,0.021220684051513672
deletion,5,0,712,0.3702,0.3537100924833798,1.53752741385042,13.95173716545105,0.021277904510498047
deletion,5,1,718,0.404,0.37636040445336616,1.300021953237422,13.970345973968506,0.0213470458984375
deletion,5,2,705,0.4546,0.4341583048521758,1.1729148377763463,13.850930213928223,0.021197795867919922
deletion,6,0,699,0.3648,0.3360598479305738,1.5982615961366797,13.794299364089966,0.021128177642822266
